wavelength,throughput
2.4456734259483968,1.3177775891524845e-08
2.446353060689472,1.3337488529574068e-08
2.4470326947317123,1.3502710866836313e-08
2.4477123280704425,1.3673265370901324e-08
2.4483919607009845,1.3849574122745639e-08
2.4490715926186666,1.4032528537268716e-08
2.44975122381882,1.4221108125679991e-08
2.4504308542967754,1.4416616956530765e-08
2.451110484047871,1.4617783682432708e-08
2.451790113067444,1.4826072110047873e-08
2.452469741350837,1.5041632889317793e-08
2.453149368893394,1.5263827315637164e-08
2.4538289956904613,1.549296620263171e-08
2.454508621737391,1.5730690741842534e-08
2.4551882470295334,1.5976398207434367e-08
2.455867871562246,1.6230329073067483e-08
2.456547495330887,1.6493980106490288e-08
2.457227118330812,1.6765681123813327e-08
2.457906740557386,1.704729794920286e-08
2.45858636200598,1.733827463100594e-08
2.459265982671966,1.763919659333763e-08
2.459945602550714,1.7952072147990785e-08
2.460625221637601,1.8273285897073512e-08
2.461304839928006,1.860714252327999e-08
2.461984457417308,1.8950483783251065e-08
2.4626640741008936,1.9306310457580225e-08
2.463343689974148,1.967379198960865e-08
2.4640233050324603,2.005358711162639e-08
2.464702919271224,2.044689134757e-08
2.465382532685834,2.085391868112958e-08
2.4660621452716884,2.1274337421374583e-08
2.4667417570241885,2.170838022029267e-08
2.467421367938737,2.215822499312383e-08
2.4681009780107406,2.2622807568481615e-08
2.4687805872356092,2.3103446302701992e-08
2.4694601956087516,2.360057686467163e-08
2.4701398031255763,2.4114963024099304e-08
2.470819409781511,2.4647047910657146e-08
2.4714990155719745,2.5196624549557434e-08
2.4721786204923912,2.5765243871592857e-08
2.472858224538189,2.6354470397037714e-08
2.4735378277047935,2.696135081149534e-08
2.474217429987639,2.7590758449811487e-08
2.4748970313821586,2.823999494630875e-08
2.475634313870872,2.891233354502165e-08
2.4763139163305383,2.9607054384807176e-08
2.4769935178874674,3.032733431687925e-08
2.4776731185370995,3.107011246973294e-08
2.4783527182748952,3.1838365228045646e-08
2.479032317096303,3.263388863974851e-08
2.4797119149967792,3.345406849417965e-08
2.480391511971779,3.4300532547441285e-08
2.481071108016764,3.517962739938263e-08
2.481750703127197,3.608635900627628e-08
2.4824302972985426,3.702498667322237e-08
2.483109890526269,3.7993309201875656e-08
2.4837894828058475,3.8994460057118257e-08
2.484469074132753,4.002865627944735e-08
2.4851486645024594,4.1096842668736936e-08
2.4858282539104493,4.220290998738896e-08
2.4865078423522022,4.3343762323920624e-08
2.48718742982319,4.4521143683511114e-08
2.487867016318914,4.5737999277820367e-08
2.4885466018348654,4.6997309961066065e-08
2.4892261863665373,4.829528738288473e-08
2.4899057699094262,4.963854634260251e-08
2.4905853524590307,5.102559612363794e-08
2.491264934010853,5.24577750212977e-08
2.4919445145603953,5.393982764526963e-08
2.4926240941031685,5.547020349003155e-08
2.4933036726346796,5.705314132347675e-08
2.4939832501504413,5.8684503221311845e-08
2.494662826645971,6.036602387813002e-08
2.4953424021167856,6.21044640169787e-08
2.49602197655839,6.389939000265662e-08
2.496701549966323,6.575038449014215e-08
2.4973811223361144,6.766155410641713e-08
2.4980606936632896,6.963413912339841e-08
2.4987402639433833,7.167134502343317e-08
2.49941983317193,7.377290995857203e-08
2.500099401344467,7.594506522528326e-08
2.5007789684565336,7.817881589589789e-08
2.501458534503675,8.048783415035358e-08
2.5021380994814355,8.286891328600961e-08
2.502817663385364,8.532729628608647e-08
2.503497226211011,8.786078018935005e-08
2.5041767879539134,9.048263287166593e-08
2.504856348609648,9.318662150911314e-08
2.5055359081737714,9.596883684752972e-08
2.506215466641848,9.884421023492607e-08
2.5068950240094408,1.0180987491148498e-07
2.50757458027212,1.0486493964089796e-07
2.5082541354254544,1.0801592586803153e-07
2.5089336894650183,1.1125927423986048e-07
2.509613242386387,1.1460116262419376e-07
2.510292794185139,1.1804668547761777e-07
2.510972344856858,1.2159561836005374e-07
2.5116518943971102,1.2525982133897635e-07
2.5123314428014956,1.2903649016734398e-07
2.513010990065609,1.3293326903536546e-07
2.5136905361850417,1.3694950041698363e-07
2.514370081155388,1.4108014777244925e-07
2.5150496249722476,1.4533886240174728e-07
2.51572916763122,1.4973215336940667e-07
2.516408709127909,1.542467258041528e-07
2.5170882494579208,1.588990074570699e-07
2.5177677886168635,1.6369755565146015e-07
2.518447326600343,1.6864092979894293e-07
2.5191268634039665,1.7372624273045377e-07
2.519806399023365,1.7896289334370842e-07
